scaffold.name	scaffold.length
NC_022205.1	51042256
NC_022203.1	37389089
NC_022204.1	36725243
NC_022214.1	34890008
NC_022210.1	34679706
NC_022212.1	34191023
NC_022209.1	33447472
NC_022211.1	32787261
NC_022215.1	31749960
NC_022218.1	31470686
NC_022199.1	31194787
NC_022206.1	29447820
NC_022202.1	28679955
NC_022217.1	27159252
NC_022213.1	26684556
NC_022219.1	26410405
NC_022216.1	26198306
NC_022200.1	25048291
NC_022207.1	20956653
NC_022220.1	20779993
NC_022201.1	19325363
NC_022208.1	17092887
NT_167388.1	7888616
NT_167425.1	4215586
NT_167428.1	4048619
NT_167448.1	3450071
NT_167450.1	3404751
NT_167461.1	2946490
NT_167475.1	2748062
NT_167479.1	2653313
NT_167483.1	2609296
NT_167495.1	2386724
NT_167500.1	2327695
NT_167498.1	2326026
NT_167506.1	2218164
NT_167508.1	2152731
NT_167510.1	2141682
NT_167513.1	2083903
NT_167517.1	2058499
NT_167529.1	1910233
NT_167532.1	1833406
NT_167535.1	1826835
NT_167538.1	1801090
NT_167537.1	1796104
NT_167540.1	1787968
NT_167545.1	1702715
NT_167544.1	1699101
NT_167550.1	1606167
NT_167552.1	1590368
NT_167553.1	1580604
NT_167557.1	1571857
NT_167554.1	1564699
NT_167555.1	1560508
NT_167561.1	1519807
NT_167564.1	1471911
NT_167566.1	1458872
NT_167568.1	1442287
NT_167567.1	1429735
NT_167571.1	1382926
NT_167575.1	1338498
NT_167580.1	1297950
NT_167582.1	1248300
NT_167583.1	1233292
NT_167586.1	1223319
NT_167587.1	1222271
NT_167592.1	1178808
NT_167594.1	1166780
NT_167595.1	1163904
NT_167597.1	1154596
NT_167598.1	1147351
NT_167605.1	1136211
NT_167602.1	1133132
NT_167603.1	1131638
NT_167610.1	1104412
NT_167608.1	1100939
NT_167611.1	1068288
NT_167613.1	1027872
NT_167615.1	1017552
NT_167616.1	1008955
NT_167617.1	1000631
NT_167622.1	998631
NT_167621.1	995871
NT_167619.1	991457
NT_167623.1	981325
NT_167626.1	963331
NT_167627.1	952115
NT_167628.1	928400
NT_167631.1	910606
NT_167633.1	905497
NT_167636.1	901898
NT_167634.1	900886
NT_167635.1	899176
NT_167640.1	897245
NT_167637.1	896201
NT_167638.1	889910
NT_167641.1	889725
NT_167639.1	888073
NT_167644.1	861630
NT_167645.1	861045
NT_167646.1	855894
NT_167648.1	835283
NT_167653.1	828646
NT_167651.1	825493
NT_167657.1	795379
NT_167658.1	793599
NT_167659.1	792925
NT_167662.1	771309
NT_167663.1	767139
NT_167665.1	759422
NT_167666.1	757909
NT_167667.1	757815
NT_167670.1	726175
NT_167671.1	725809
NT_167672.1	715763
NT_167675.1	701104
NT_167676.1	692089
NT_167677.1	683602
NT_167678.1	682336
NT_167679.1	678360
NT_167680.1	662961
NT_167682.1	660436
NT_167692.1	659447
NT_167683.1	650406
NT_167684.1	640713
NT_167688.1	639739
NT_167686.1	639045
NT_167689.1	633074
NT_167690.1	627004
NT_167693.1	602091
NT_167694.1	599264
NT_167695.1	599025
NT_167701.1	593522
NT_167699.1	575427
NT_167697.1	574891
NT_167702.1	568855
NT_167714.1	562070
NT_167704.1	555946
NT_167703.1	553503
NT_167731.1	551092
NT_167705.1	548958
NT_167706.1	548365
NT_167708.1	548113
NT_167709.1	544647
NT_167710.1	537780
NT_167712.1	537015
NT_167711.1	532121
NT_167716.1	531815
NT_167728.1	531437
NT_167715.1	530534
NT_167717.1	526540
NT_167729.1	525847
NT_167719.1	522470
NT_167720.1	517104
NT_167722.1	508627
NT_167723.1	505298
NT_167727.1	495963
NT_167736.1	486905
NT_167730.1	481412
NT_167732.1	476784
NT_167737.1	473999
NT_167733.1	472651
NT_167735.1	471205
NT_167740.1	462216
NT_167739.1	460227
NT_167741.1	459476
NT_167743.1	455014
NT_167742.1	452579
NT_167745.1	450163
NT_167744.1	449654
NT_167747.1	447066
NT_167751.1	445419
NT_167749.1	444822
NT_167746.1	444490
NT_167748.1	444250
NT_167757.1	440641
NT_167750.1	439512
NT_167752.1	439128
NT_167753.1	437248
NT_167754.1	436649
NT_167755.1	434252
NT_167761.1	432764
NT_167756.1	431704
NT_167760.1	428181
NT_167758.1	425527
NT_167759.1	417265
NT_167762.1	416836
NT_167763.1	414427
NT_167764.1	411660
NT_167765.1	410382
NT_167766.1	403599
NT_167771.1	398810
NT_167773.1	397662
NT_167768.1	396204
NT_167767.1	395767
NT_167772.1	395063
NT_167769.1	394996
NT_167770.1	392071
NT_167774.1	388769
NT_167775.1	384916
NT_167776.1	381444
NT_167777.1	378937
NT_167788.1	378373
NT_167778.1	373260
NT_167781.1	372006
NT_167782.1	367609
NT_167784.1	367243
NT_167785.1	364656
NT_167786.1	360687
NT_167787.1	358715
NT_167795.1	356225
NT_167789.1	353647
NT_167803.1	353191
NT_167792.1	352884
NT_167790.1	352385
NT_167796.1	349586
NT_167794.1	349568
NT_167797.1	343793
NT_167798.1	343392
NT_167799.1	341077
NT_167804.1	338309
NT_167801.1	337717
NT_167802.1	336884
NT_167830.1	335079
NT_167809.1	332583
NT_167807.1	330839
NT_167805.1	330742
NT_167806.1	330501
NT_167808.1	329447
NT_167813.1	328299
NT_167810.1	327704
NT_167811.1	325235
NT_167812.1	325085
NT_167814.1	324105
NT_167821.1	321648
NT_167815.1	321629
NT_167822.1	321215
NT_167817.1	321183
NT_167818.1	318790
NT_167819.1	318168
NT_167820.1	317059
NT_167823.1	311587
NT_167824.1	309927
NT_167826.1	306764
NT_167831.1	305794
NT_167828.1	303089
NT_167829.1	303005
NT_167832.1	300597
NT_167833.1	298900
NT_167834.1	296175
NT_167835.1	295296
NT_167843.1	294502
NT_167842.1	294181
NT_167836.1	292362
NT_167837.1	292158
NT_167838.1	285493
NT_167847.1	280867
NT_167840.1	277290
NT_167841.1	275982
NT_167844.1	275545
NT_167845.1	271010
NT_167851.1	269058
NT_167849.1	266389
NT_167850.1	264867
NT_167852.1	262752
NT_167853.1	262142
NT_167854.1	260413
NT_167856.1	259988
NT_167855.1	258628
NT_167857.1	258510
NT_167858.1	256309
NT_167861.1	253599
NT_167859.1	253331
NT_167860.1	252648
NT_167862.1	251042
NT_167864.1	249425
NT_167863.1	248190
NT_167866.1	248067
NT_167865.1	247279
NT_167867.1	244601
NT_167874.1	243652
NT_167878.1	242584
NT_167868.1	241203
NT_167872.1	240771
NT_167894.1	240437
NT_167870.1	239501
NT_167869.1	239320
NT_167871.1	237965
NT_167896.1	237127
NT_167873.1	236840
NT_167875.1	236061
NT_167876.1	235285
NT_167877.1	234913
NT_167880.1	233233
NT_167920.1	233167
NT_167879.1	232251
NT_167881.1	231594
NT_167882.1	229915
NT_167927.1	229069
NT_167883.1	228576
NT_167884.1	228527
NT_167885.1	227259
NT_167888.1	226666
NT_167886.1	225858
NT_167889.1	224872
NT_167891.1	224117
NT_167895.1	222965
NT_167890.1	222166
NT_167893.1	221271
